Miss Tide UM B 2015																																																																																				
CLASES	LANCES																																																																																			
75	85																																																																																			
32	50	19	2	0	0	0	23	10	1	0	48	1	138	80	72	38	88	10	3	96	86	140	71	39	13	0	17	31	19	10	45	17	8	0	166	23	18	18	22	39	113	5	1	3	4	87	0	28	60	71	34	13	95	49	2	11	111	47	51	22	7	24	74	0	23	69	24	10	67	26	350	0	21	215	21	12	74	106	51	26	18	24	6	98
33	46	53	9	0	4	10	8	5	1	3	48	1	17	49	41	26	96	13	7	96	49	47	61	49	0	7	11	9	4	2	67	17	0	0	41	46	18	23	22	20	138	24	0	0	0	54	78	28	60	46	60	25	176	119	12	0	44	12	23	0	7	18	92	0	5	83	8	5	20	13	350	0	43	176	53	8	0	49	76	26	5	31	14	70
34	36	19	2	0	1	12	19	10	1	10	57	1	69	49	26	13	61	16	0	96	37	93	30	20	6	21	6	0	0	0	22	35	0	0	62	69	27	18	7	39	100	19	0	0	0	65	78	28	40	46	60	25	105	92	7	4	37	24	12	4	0	36	110	0	23	55	24	0	20	20	219	4	36	117	42	6	19	74	31	5	0	14	14	70
35	36	38	3	0	0	18	34	15	6	30	57	4	52	68	57	38	114	10	0	178	61	93	61	98	13	27	11	22	11	7	67	69	4	3	83	115	9	13	50	79	276	21	1	5	4	163	94	83	100	92	60	50	80	184	11	7	103	59	39	35	30	18	92	0	27	207	64	10	40	53	336	0	39	147	63	23	102	139	76	5	5	41	23	61
36	46	19	0	0	4	4	11	10	4	17	48	6	69	80	31	38	79	12	10	205	37	93	40	68	13	14	0	13	11	17	0	52	4	0	104	46	9	8	0	118	88	13	1	0	4	109	47	97	100	67	34	88	40	189	7	14	52	59	39	9	22	36	165	0	32	96	40	0	7	7	219	4	43	157	37	4	46	57	46	10	23	47	28	56
37	71	48	2	2	0	16	15	10	0	30	48	7	52	62	26	26	70	21	17	328	61	93	91	147	13	48	11	4	7	5	34	0	0	0	228	184	62	18	7	98	363	45	3	0	2	120	94	42	70	84	86	113	90	384	14	7	59	36	23	4	15	42	147	0	109	83	48	5	13	33	321	2	43	186	63	10	139	123	158	26	23	61	20	42
38	71	29	3	1	4	12	26	19	3	17	67	3	34	43	36	51	79	15	10	287	0	374	50	157	6	34	17	13	11	10	22	35	8	0	62	138	53	13	7	196	313	40	7	0	0	120	125	125	50	59	34	38	50	330	9	21	133	36	39	13	67	18	147	0	82	165	64	10	34	20	525	0	32	274	63	4	83	49	102	15	14	54	34	37
39	50	48	3	0	7	14	26	19	3	13	57	3	34	49	15	26	0	15	10	355	12	234	71	78	0	41	33	9	4	10	45	69	0	0	62	253	53	16	0	216	351	56	4	0	2	120	47	55	50	80	69	63	70	405	14	4	81	24	39	26	52	42	239	0	100	151	56	0	0	53	394	6	32	303	58	4	9	66	137	31	27	85	40	42
40	46	24	10	1	4	22	45	19	1	40	10	1	103	68	31	51	44	25	7	410	74	280	91	157	0	103	28	9	37	15	45	104	0	3	290	184	62	16	36	314	276	40	6	0	2	337	172	222	110	188	60	101	60	400	14	88	199	130	47	30	44	71	202	0	159	413	88	5	27	66	525	2	18	186	53	2	204	82	76	20	18	68	26	33
41	39	34	12	1	1	14	26	48	4	20	48	0	69	37	31	26	9	10	7	328	61	234	222	98	0	34	17	27	22	2	22	86	0	0	270	184	27	16	22	137	175	64	6	0	0	218	251	235	90	117	78	63	60	400	7	39	66	83	43	22	15	83	312	0	146	262	80	10	27	33	321	2	50	284	90	2	37	90	76	31	9	64	31	19
42	36	48	9	0	3	16	15	19	1	30	19	4	86	18	62	13	26	8	7	519	49	561	161	205	6	68	39	36	52	5	45	190	8	0	145	115	35	13	29	196	201	40	7	0	0	239	376	180	110	113	138	38	75	449	20	106	148	95	74	26	52	47	202	0	255	234	96	0	34	66	248	4	29	186	47	2	74	90	51	20	18	75	31	19
43	50	29	12	1	0	16	4	5	4	17	19	0	69	37	36	89	26	13	7	410	111	374	141	215	0	109	39	13	33	5	22	86	0	0	21	253	80	10	7	177	201	50	1	0	0	98	204	42	70	33	190	63	115	454	9	42	74	36	23	9	37	71	239	0	278	55	8	5	34	46	306	14	25	137	79	0	65	90	71	56	14	44	28	23
44	43	19	2	1	3	4	19	15	3	17	10	4	17	68	82	102	9	12	3	328	148	514	131	176	6	89	44	13	74	0	34	121	0	0	83	69	35	8	7	216	188	50	12	0	0	185	125	111	130	46	129	101	120	270	11	56	74	47	23	30	44	36	92	1	218	138	56	5	34	72	365	2	21	225	47	12	83	33	61	36	23	44	20	14
45	64	24	15	1	1	6	19	19	3	27	86	3	206	92	108	51	35	16	10	205	172	467	192	225	0	246	67	40	130	12	112	138	20	3	207	184	44	13	50	255	326	11	12	0	9	261	251	222	180	134	181	138	135	292	7	155	207	237	66	78	52	36	110	3	255	413	185	15	40	72	263	0	11	215	69	23	83	82	71	26	32	75	11	79
46	61	29	10	1	3	6	19	19	3	30	57	3	258	105	113	128	35	18	0	137	221	935	252	333	13	191	50	49	115	12	145	104	8	5	249	92	97	31	29	157	201	29	8	3	15	87	204	305	200	63	190	151	90	135	11	78	163	201	74	26	30	95	165	3	150	234	48	10	20	79	306	4	21	313	53	12	46	82	102	10	27	47	9	51
47	107	58	10	2	4	12	23	15	3	13	133	6	258	43	31	192	149	25	10	205	135	1308	202	333	0	171	106	36	78	5	56	138	4	3	187	184	133	21	50	275	251	24	30	3	2	65	110	138	100	46	422	252	160	124	9	46	111	130	39	13	7	130	221	3	273	96	80	0	20	53	496	6	14	294	95	8	120	66	127	31	14	95	3	47
48	78	72	7	1	4	4	61	44	7	40	190	13	327	166	67	217	140	31	3	232	172	1589	414	773	6	342	89	76	130	5	56	259	4	5	187	253	88	18	79	530	263	21	22	18	11	109	266	291	200	54	259	415	115	114	12	25	126	284	58	48	81	148	129	2	168	289	48	10	27	46	584	0	47	333	79	6	111	180	153	41	32	54	0	70
49	68	72	9	1	8	8	38	24	4	17	143	4	241	74	21	230	114	36	7	205	148	1542	283	460	0	390	139	45	222	2	67	173	8	0	311	207	80	26	72	393	476	27	28	5	7	54	204	208	210	71	422	441	90	27	4	39	96	225	39	35	52	208	147	3	100	496	48	0	7	92	569	10	25	303	111	4	102	147	153	31	5	47	6	19
50	114	72	22	3	11	20	53	48	16	77	381	12	378	222	77	256	123	38	7	369	209	2056	464	1369	19	554	200	135	323	17	391	657	28	8	539	437	124	31	72	570	614	42	32	20	17	207	470	595	501	142	526	629	90	59	14	102	355	533	164	104	274	297	221	2	132	689	330	24	81	145	584	6	36	646	121	19	250	311	193	56	41	44	0	84
51	121	58	22	3	4	16	61	44	7	30	238	4	361	154	41	192	158	38	17	273	135	1729	494	949	25	431	239	103	271	10	246	691	12	3	394	506	221	39	136	432	514	21	50	10	7	120	501	457	401	88	560	831	130	49	9	25	236	509	47	43	74	374	496	4	50	578	185	10	27	105	803	18	82	969	248	10	83	262	183	72	77	112	9	19
52	189	125	27	5	4	16	95	53	7	50	266	21	447	271	87	294	193	56	3	519	209	2290	727	1555	83	513	339	153	256	15	291	778	8	3	601	667	345	26	223	766	802	19	39	15	24	120	611	457	501	75	690	818	130	76	20	42	406	438	97	87	81	433	607	7	178	647	297	15	27	243	992	6	47	724	248	14	222	369	290	128	118	125	3	19
