Atlantic Surf I UM B 2014																																																																																						
CLASES	LANCES																																																																																					
75	87																																																																																					
31	7	2	2	0	3	0	6	24	42	119	8	0	19	0	51	1	6	13	13	34	231	60	300	32	73	75	38	28	22	13	107	44	36	2	301	23	34	6	7	198	268	91	13	0	2	76	232	61	44	38	76	24	25	482	0	77	82	55	20	21	8	38	72	16	311	46	23	0	18	49	472	0	458	65	34	0	106	65	0	11	8	27	29	6	5	2
32	11	12	11	0	7	3	25	24	61	159	16	0	36	17	15	1	11	19	13	77	521	106	214	0	91	56	19	19	33	13	64	44	0	0	234	23	50	14	28	40	244	68	9	4	2	65	340	36	44	34	30	24	17	512	0	97	70	22	22	16	15	57	85	5	393	138	62	0	12	65	472	5	362	98	68	6	71	97	0	33	21	32	67	19	33	7
33	15	5	0	0	0	5	38	24	103	218	12	0	13	29	46	4	7	22	91	43	231	121	129	21	36	75	0	19	33	20	171	111	18	0	167	113	50	14	35	119	219	68	15	6	7	54	201	24	44	48	61	47	17	632	0	106	59	33	3	37	0	76	72	0	360	168	15	3	6	59	450	5	338	130	41	8	88	0	3	54	21	38	67	0	10	2
34	11	7	0	2	0	5	6	47	79	59	20	0	39	41	36	3	9	29	26	17	347	75	271	0	36	75	19	28	33	27	64	89	18	0	33	90	67	6	0	198	219	80	16	6	2	44	201	36	22	10	30	0	42	346	0	97	129	33	11	21	8	0	24	0	197	61	23	3	9	32	257	0	97	65	7	3	53	49	0	22	0	5	38	6	43	2
35	11	22	9	0	0	16	50	94	85	218	52	2	23	17	51	9	19	54	78	162	463	166	214	43	36	75	19	38	11	61	107	89	91	7	134	204	118	14	35	159	97	182	30	8	5	44	262	36	52	55	91	47	59	497	13	116	82	77	14	21	23	57	60	16	622	214	46	0	18	59	279	5	241	81	55	8	53	49	3	33	33	43	58	6	14	7
36	4	27	2	2	10	3	44	59	139	139	28	11	32	37	67	3	16	76	65	60	463	106	157	21	91	112	94	28	65	34	85	44	18	2	33	45	50	8	35	79	146	34	30	15	7	33	170	49	37	21	15	47	50	361	0	48	82	55	25	5	8	0	48	16	213	31	8	0	6	27	193	5	72	16	27	3	71	32	0	33	0	5	19	6	19	7
37	22	22	2	2	3	5	50	141	133	297	24	0	32	33	103	10	30	67	169	85	752	75	100	21	91	75	19	28	11	40	43	89	36	2	67	45	0	6	21	317	171	80	47	15	5	44	170	36	59	55	122	47	50	181	7	135	70	88	20	37	23	19	60	33	246	92	8	0	6	5	193	0	48	49	0	3	0	16	0	33	8	11	58	0	5	11
38	15	42	18	0	3	5	81	118	139	277	20	0	13	29	103	9	23	48	78	221	347	166	100	0	73	56	38	19	54	13	107	22	36	5	100	45	168	8	56	119	219	46	29	8	4	22	232	24	37	52	122	24	34	60	0	97	23	33	31	11	15	57	36	22	311	46	85	0	18	22	129	5	24	49	27	0	0	16	0	11	8	5	38	0	0	7
39	18	17	11	0	3	3	56	82	109	178	12	0	16	21	88	16	21	73	169	196	694	75	114	11	73	75	38	66	98	27	64	89	18	4	67	0	17	3	14	159	171	34	43	25	16	11	154	49	52	34	122	95	34	75	7	68	47	88	14	16	15	0	72	5	180	46	8	0	9	16	150	5	48	16	14	3	0	65	6	11	17	5	10	0	0	14
40	11	37	27	0	3	11	44	236	91	317	81	7	10	33	82	18	40	63	104	417	2140	106	157	21	91	112	75	103	131	34	85	22	18	5	201	45	50	11	85	436	49	46	26	8	16	0	170	36	103	69	259	213	17	105	0	29	47	132	14	48	45	114	36	22	164	122	62	0	12	27	172	5	72	81	48	0	35	49	9	22	4	22	29	12	14	7
41	40	15	13	2	10	3	19	130	115	79	20	0	19	21	72	22	24	73	130	162	1388	136	71	0	182	93	75	75	141	40	107	89	18	7	134	90	50	6	21	317	97	0	29	12	13	11	108	109	29	31	167	189	34	30	0	29	35	99	25	43	53	38	36	22	131	107	54	0	12	32	64	0	97	65	27	0	88	16	9	22	8	5	10	0	5	11
42	22	37	22	2	3	5	38	130	127	238	40	2	23	29	67	22	48	54	220	281	1909	90	171	0	164	19	169	94	185	27	192	89	0	11	100	68	84	6	113	278	341	57	38	23	14	22	108	134	81	45	228	213	17	75	27	19	82	165	28	53	23	114	85	16	82	61	93	0	6	76	129	0	193	98	34	3	71	97	6	54	17	11	19	0	5	16
43	33	29	25	2	7	3	44	153	61	218	28	0	19	17	57	19	29	79	272	340	1157	106	257	0	327	280	131	150	392	27	171	133	18	4	134	90	34	17	85	476	365	34	29	15	16	22	185	109	111	27	228	189	25	15	13	0	23	253	25	75	15	246	24	11	98	107	77	3	6	70	300	5	265	163	48	8	176	16	0	76	8	27	29	6	0	11
44	51	12	9	5	3	0	44	47	42	159	36	2	19	37	62	22	26	44	169	374	1099	106	114	0	345	392	206	160	359	13	171	221	18	4	167	113	50	14	56	357	244	57	12	10	11	33	154	97	59	48	441	95	17	0	13	10	82	220	25	43	60	133	121	22	16	107	85	3	6	59	129	5	241	146	0	0	71	130	0	54	13	43	29	0	0	5
45	51	20	22	2	7	3	63	24	36	139	77	0	26	29	93	24	34	44	259	783	3124	151	314	43	654	429	169	367	576	40	427	221	109	9	301	158	151	44	204	952	341	68	18	21	9	22	293	121	155	52	380	592	25	90	0	29	117	418	53	43	105	455	72	11	98	352	271	3	18	113	643	11	458	114	55	3	194	211	12	152	25	32	77	0	0	2
46	51	20	13	2	0	0	50	24	30	139	44	2	13	46	62	10	30	41	207	783	2140	211	243	21	763	261	469	310	576	54	406	243	127	5	368	136	50	11	106	397	390	23	16	17	11	76	370	85	170	41	441	450	17	90	0	19	164	451	59	96	98	417	145	5	49	367	194	0	9	113	429	5	676	228	150	6	282	324	6	76	29	38	58	6	5	2
47	51	2	20	0	0	3	56	59	12	159	56	0	29	29	149	16	26	82	285	774	2834	256	286	54	1036	485	394	357	576	34	427	288	145	4	301	249	168	42	162	991	487	114	14	6	16	76	278	219	140	55	578	686	50	30	0	58	223	594	42	107	113	455	314	5	115	352	201	3	15	124	772	11	844	309	109	6	247	243	0	119	46	75	115	6	0	7
48	47	17	25	0	0	0	75	106	30	238	64	2	58	50	98	15	19	70	337	834	3182	301	371	11	1163	634	413	536	881	67	449	753	326	14	402	543	218	42	183	1229	609	137	7	12	13	98	401	182	229	17	456	1018	67	120	0	87	223	605	34	96	120	682	169	5	147	566	302	6	15	243	879	16	869	374	178	3	194	487	14	217	59	129	202	6	10	7
49	25	2	13	4	3	3	56	106	6	99	28	0	23	33	154	9	9	54	207	493	1735	211	314	75	1199	354	469	404	740	61	491	266	218	2	368	271	252	33	141	516	609	182	6	4	0	142	355	182	147	24	198	142	50	45	0	29	246	297	25	43	90	588	411	5	82	230	170	6	9	167	472	11	748	325	123	6	212	470	3	141	50	59	154	6	5	2
50	29	17	31	2	10	3	100	141	30	515	141	0	23	83	124	13	19	70	376	970	5033	377	429	96	1417	727	769	470	870	101	790	1085	254	7	1037	950	588	67	486	2617	634	365	6	8	18	174	818	206	324	79	487	947	50	241	0	97	293	363	87	101	143	720	375	16	328	796	240	6	24	200	1372	38	1303	455	280	3	282	714	14	423	71	102	308	0	14	5
