Atlantic Surf III UM B 2016																																																																																							
CLASES	LANCES																																																																																						
75	88																																																																																						
31	6	6	0	0	2	0	8	5	0	0	17	0	41	34	33	0	0	0	16	85	0	6	6	0	0	56	72	0	101	10	7	0	0	0	0	0	0	36	44	3	33	168	60	66	44	5	24	116	146	322	70	148	39	52	6	6	0	11	46	9	27	62	260	5	135	203	15	19	63	152	2	0	3	127	82	33	122	16	138	15	19	1	0	0	2	13	0
32	0	0	0	0	3	0	25	13	2	6	57	1	88	45	33	0	2	8	41	12	66	36	23	0	0	111	183	1	234	36	3	0	0	0	0	0	0	65	148	3	15	159	77	105	76	14	37	73	73	295	70	66	16	34	4	31	10	30	93	35	27	68	211	3	51	135	24	11	126	30	2	0	0	91	65	30	83	9	285	49	44	2	0	0	0	26	0
33	0	3	0	1	0	0	15	5	4	2	22	0	88	40	0	0	0	48	25	72	133	48	12	0	4	65	95	1	187	36	5	0	0	0	0	0	0	43	59	2	30	126	43	131	133	12	12	102	24	268	193	148	24	34	4	25	0	11	15	4	17	62	130	3	101	135	34	15	63	122	2	0	3	73	123	43	102	3	171	32	50	3	0	0	2	33	0
34	0	3	0	0	1	0	5	5	0	4	9	2	122	40	22	1	0	40	8	36	66	36	40	0	0	93	80	3	133	41	12	0	0	0	0	0	2	62	119	2	39	151	51	72	76	10	37	15	49	241	210	82	31	17	6	31	29	11	31	35	20	56	195	5	152	152	14	26	95	183	0	0	0	36	65	39	96	9	155	20	69	2	0	0	0	26	1
35	0	3	0	0	0	0	23	13	12	8	9	0	61	40	55	0	0	32	41	0	199	91	46	0	4	93	159	0	140	26	9	0	0	0	0	0	0	90	163	5	39	67	51	33	44	12	12	73	24	228	140	82	55	43	6	31	29	11	31	22	10	85	179	3	135	135	19	19	164	183	2	0	5	127	90	39	70	9	252	49	44	2	0	0	5	59	2
36	0	6	0	0	0	0	13	13	8	4	57	1	75	45	11	0	0	48	41	48	66	66	52	0	0	121	95	1	203	21	17	0	0	0	0	0	0	98	119	5	24	92	81	53	63	22	24	102	122	308	158	82	39	77	4	25	57	19	62	26	47	62	195	11	101	169	36	34	69	91	2	0	5	18	90	61	70	6	228	62	57	6	0	0	2	52	0
37	6	6	2	0	0	0	15	0	4	4	22	3	115	90	88	0	1	72	33	85	33	60	29	0	4	102	119	1	148	21	20	0	0	0	7	0	0	112	89	2	15	101	51	118	76	29	37	131	49	362	193	82	16	17	7	25	19	15	31	35	13	28	195	3	84	102	29	34	88	30	0	0	0	54	98	49	83	9	147	42	57	7	0	0	7	79	0
38	9	3	2	0	0	0	28	15	12	4	57	5	102	124	88	0	1	120	33	72	100	103	69	0	4	111	135	6	109	16	26	2	0	0	0	0	0	156	104	4	12	176	64	92	51	31	49	29	122	228	140	0	63	43	14	62	10	22	46	35	27	40	146	8	118	203	34	53	76	152	0	0	0	73	65	47	83	6	122	37	44	11	0	0	7	157	0
39	9	6	0	0	0	0	23	15	0	11	39	8	81	85	33	0	0	24	33	72	66	78	52	0	0	84	16	8	117	31	22	0	0	0	0	6	0	65	59	3	18	84	51	79	38	46	49	73	49	147	123	82	55	17	8	0	38	22	15	44	23	45	81	5	202	152	22	26	57	61	2	0	0	127	90	45	58	9	130	20	44	4	0	0	7	125	2
40	15	21	0	1	0	0	64	13	18	8	57	17	68	102	77	0	0	56	25	48	166	139	63	0	4	102	143	3	148	10	15	0	1	0	0	2	2	199	74	7	21	92	77	66	38	55	61	87	24	94	35	49	118	77	7	37	29	22	62	31	54	34	146	3	118	68	33	57	69	213	4	0	0	18	74	69	77	12	122	42	31	13	0	0	30	216	0
